Title,Timing,Accuracy,TP,FP,TN,FN,Recall,Precision,Specificity,F_Measure,FalseAlarmRate,RocCurveArea,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
RF DCT training,2.9561569,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
RF DCT test dataset,0.8482252,0.716666667,153,21,19,47,0.765,0.879310345,0.475,0.818181818,0.525,0.74975,,,,,,,68,0.283333333333333,,Error
 ,,,,,,,,,,,,,,,,,,172,240,0.716666666666667,,Accuracy
RF DCT supplied images ,3.1439822,1,7,0,0,0,1,1,NaN,1,NaN,,,,,,,,0,0,,Error
 ,,,,,,,,,,,,,,,,,,7,7,1,,Accuracy
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
